state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP
Assam,AS_Nagaon,3142518.6720000003,3831.0,820.2867846515271,4515,1984,2506,25,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Nalbari,856149.928,1009.0,848.5133082259663,948,105,828,15,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Sivasagar,1279081.336,2668.0,479.4157931034482,529,23,473,33,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_South Salmara,617286.768,568.0,1086.7724788732396,51,3,47,1,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Sonitpur,2141684.2,5324.0,402.26975957926373,2548,805,1727,16,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Tinsukia,1464446.176,3790.0,386.39740791556727,3366,1527,1798,41,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Udalguri,926039.128,1676.0,552.5293126491647,758,84,666,8,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_West Karbi Anglong,333955.84,3035.0,110.03487314662274,39,1,37,1,0,31169272.0,2120.0,801.0,7.0,3.0
Bihar,BR_Araria,3120494.4,2829.0,1103.0379639448568,7106,63,7021,22,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Arwal,779337.416,638.0,1221.532,2241,36,2194,11,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Aurangabad,2792502.216,3303.0,845.4442070844686,4958,35,4908,15,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Banka,2256624.968,3018.0,747.7219907223326,3377,87,3271,19,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Begusarai,3285256.104,1917.0,1713.7486197183098,7514,81,7401,32,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Bhagalpur,3371835.312,2569.0,1312.5088797197352,9270,159,9036,75,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Bhojpur,3024812.36,2473.0,1223.134799838253,4884,38,4804,42,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Buxar,1898899.016,1624.0,1169.2727931034483,3928,52,3859,17,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Darbhanga,4361231.752,2278.0,1914.5003301141353,3984,40,3912,32,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_East Champaran,5652149.216,3969.0,1424.07387654321,8237,84,8103,50,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Gaya,4869873.896,4978.0,978.2792077139413,7660,209,7392,59,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Gopalganj,2844537.144,2033.0,1399.1820678799802,5675,63,5597,15,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Jamui,1952758.736,3099.0,630.1254391739271,3118,26,3082,10,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Jehanabad,1250083.712,1569.0,796.7391408540472,4345,99,4228,18,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Kaimur,1809112.8,3363.0,537.9461195361284,1978,19,1949,10,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Katihar,3411781.688,3056.0,1116.4207094240837,7095,106,6977,12,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Khagaria,1843250.088,1486.0,1240.4105572005383,3022,27,2983,12,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Kishanganj,1880334.176,1884.0,998.0542335456475,4229,96,4120,13,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Lakhisarai,1112797.304,1229.0,905.449393002441,3630,82,3539,9,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Madhepura,2218015.216,1787.0,1241.1948606603246,4755,43,4696,16,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Madhubani,4977360.928,3501.0,1421.6969231648102,7510,54,7425,31,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Munger,1511268.048,1419.0,1065.0232896405919,4108,68,3991,49,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Muzaffarpur,5313814.32,3173.0,1674.697232902616,11224,198,10981,45,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Nalanda,3194245.576,2354.0,1356.9437451146982,7966,130,7781,55,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Nawada,2464918.136,2492.0,989.132478330658,4060,141,3897,22,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Patna,6419358.048,3202.0,2004.7963922548408,46359,1926,44077,356,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Purnia,3639717.224,3228.0,1127.54560842627,9180,92,9067,21,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Rohtas,3294403.416,3850.0,855.689198961039,6622,71,6506,45,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Saharsa,2109577.424,1702.0,1239.4696968272622,6646,88,6547,11,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Samastipur,4731317.584,2905.0,1628.680751807229,5104,68,5002,34,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Saran,4384724.976,2641.0,1660.251789473684,6899,222,6625,52,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Sheikhpura,706038.824,689.0,1024.7297880986937,2965,8,2946,11,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Sheohar,730490.592,443.0,1648.962961625282,1404,62,1341,1,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Sitamarhi,3802619.664,2199.0,1729.2495061391542,4261,99,4148,14,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Siwan,3689811.712,2219.0,1662.82636863452,4586,100,4458,28,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Supaul,2477977.464,2410.0,1028.2064165975105,5519,28,5474,17,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_Vaishali,3886463.352,2036.0,1908.8719803536346,5302,69,5188,44,1,103804637.0,2069.0,586.0,2.0,4.0
Bihar,BR_West Champaran,4375766.704,5229.0,836.8266789061006,5924,97,5805,22,0,103804637.0,2069.0,586.0,2.0,4.0
Chhattisgarh,CT_Balod,918695.48,3527.0,260.4750439466969,8522,928,7523,71,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Baloda Bazar,1451541.416,4748.0,305.7163892165122,8455,172,8162,121,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Balrampur,665926.76,3806.0,174.96761954808198,3159,165,2983,11,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Bastar,1448105.3360000001,4030.0,359.33134888337474,7487,153,7256,78,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Bemetara,219102.92,2855.0,76.74357968476357,4289,464,3777,48,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Bijapur,255573.184,6562.0,38.94745260591283,3958,39,3891,28,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Bilaspur,2181657.264,5818.0,374.98406050189067,16952,400,16368,184,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Dantewada,593405.456,3411.0,173.96817824684842,5765,22,5728,15,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Dhamtari,888709.288,2029.0,438.00359191720054,7302,557,6645,100,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Durg,3717503.848,8542.0,435.20297916178885,21437,1860,19034,543,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Gariaband,664590.1359999999,5823.0,114.13191413360809,3813,143,3624,46,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Gaurella-Pendra-Marwahi,374099.04,2307.0,162.15823146944084,946,233,704,9,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Janjgir-Champa,1802142.784,3848.0,468.3323243243243,17808,159,17453,196,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Jashpur,947471.816,5825.0,162.65610575107297,3098,296,2781,21,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Kabirdham,650149.704,4237.0,153.445764455983,5365,259,5040,66,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Kondagaon,643098.512,7769.0,82.77751473806153,4818,132,4661,25,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Korba,1341698.056,6615.0,202.82661466364326,15360,110,15149,101,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Koriya,732851.368,6578.0,111.40945089692916,4426,186,4204,36,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Mahasamund,1147889.8,4779.0,240.1945595312827,7338,530,6701,107,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Mungeli,780298.184,2750.0,283.7447941818182,3746,36,3687,23,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Narayanpur,155909.072,6640.0,23.48028192771084,1902,40,1860,2,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Raigarh,1660913.224,7068.0,234.99055234861345,20363,548,19550,265,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Raipur,4517121.92,13083.0,345.26652296873806,50615,7029,42889,697,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Rajnandgaon,1709722.24,8062.0,212.07172413793103,17341,1278,15902,161,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Sukma,276888.0,5636.0,49.12845990063875,3687,50,3627,10,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Surajpur,734231.36,6787.0,108.18201856490349,5143,440,4673,30,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,CT_Surguja,467775.032,3265.0,143.26953506891272,6866,560,6232,74,0,25540196.0,1340.0,513.0,5.0,3.0
Goa,GA_North Goa,909350.232,1736.0,523.8192580645161,2668,1639,964,65,0,1457723.0,105.0,37.0,7.0,3.0
Goa,GA_South Goa,711637.744,1966.0,361.97240284842314,3511,1978,1407,126,0,1457723.0,105.0,37.0,7.0,3.0
Gujarat,GJ_Ahmedabad,8015518.4,8707.0,920.5832548524177,55370,2999,50166,2205,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Amreli,1683138.768,6760.0,248.985024852071,3668,217,3419,32,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Anand,2324386.912,2942.0,790.0703303874915,2131,65,2049,17,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Aravalli,1169541.552,3217.0,363.55037364003726,1102,73,1004,25,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Banaskantha,3465042.04,12703.0,272.7735212154609,4409,-36,4409,36,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Bharuch,1724514.064,6524.0,264.3338540772532,3682,139,3525,18,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Bhavnagar,3200292.632,11155.0,286.89310909905873,5620,109,5443,68,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Botad,729477.56,2564.0,284.50762870514825,1000,68,922,10,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Chhota Udepur,1191876.072,3237.0,368.20391473586653,844,28,813,3,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Dahod,2364732.496,3642.0,649.2950291048874,2758,155,2596,7,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Dang,252167.128,1764.0,142.9518866213152,144,8,136,0,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Devbhoomi Dwarka,836762.208,5684.0,147.21361857846586,1009,57,947,5,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Gandhinagar,1542875.536,649.0,2377.3120739599385,7742,506,7133,103,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Gir Somnath,1353834.424,3754.0,360.63783271177414,2245,149,2072,24,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Jamnagar,2400952.56,14125.0,169.97894230088497,9960,384,9541,35,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Junagadh,3049427.592,8839.0,344.9968991967417,4695,248,4414,33,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Kheda,2556414.608,4215.0,606.5040588374852,2723,103,2604,16,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Kutch,2324428.056,45652.0,50.91623709804608,3727,252,3442,33,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Mahisagar,1106021.888,2500.0,442.40875520000003,1857,97,1753,7,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Mehsana,2254832.424,4386.0,514.0976798905609,6401,368,5996,37,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Morbi,1067885.848,4871.0,219.23339109012522,2959,263,2678,18,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Narmada,656501.448,2749.0,238.8146409603492,1876,136,1739,1,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Navsari,1479750.632,2211.0,669.2675857078245,1540,19,1513,8,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Panchmahal,2655752.904,5219.0,508.8624073577314,3843,181,3641,21,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Patan,1493133.552,5738.0,260.21846497037296,4059,154,3853,52,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Porbandar,651700.944,2294.0,284.0893391455972,677,8,665,4,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Rajkot,3511335.712,11203.0,313.4281631705793,18988,1483,17317,188,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Sabarkantha,2699208.752,7390.0,365.2515225981055,2661,179,2469,13,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Surat,6762430.064,4418.0,1530.6541566319602,47546,1123,45476,947,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Surendranagar,1952530.776,10489.0,186.1503266278959,3321,305,3004,12,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Tapi,896815.768,3435.0,261.08173740902475,1012,18,988,6,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Vadodara,4047429.8,7794.0,519.3007185014113,23223,2156,20836,231,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,GJ_Valsad,1893811.616,3034.0,624.1963137771918,1335,13,1313,9,0,60383628.0,3402.0,1585.0,6.0,2.0
Haryana,HR_Ambala,1264103.808,1569.0,805.6748298279158,11222,283,10799,140,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Bhiwani,1811569.208,5140.0,352.4453712062257,6126,64,5928,134,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Charkhi Dadri,558530.912,1370.0,407.68679708029197,1449,80,1346,23,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Faridabad,2000436.848,783.0,2554.836332056194,44832,717,43722,393,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Fatehabad,1046972.464,2538.0,412.5187013396375,4594,119,4362,113,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Gurgaon,1683662.52,1258.0,1338.3644833068363,55652,1586,53727,339,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Hissar,1938010.28,3788.0,511.6183421330517,16719,183,16227,309,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Jhajjar,1064080.584,1868.0,569.6362869379016,5659,111,5469,79,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Jind,1481230.704,2702.0,548.1978919319023,4552,252,4212,88,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Kaithal,1193021.432,2799.0,426.2313083244016,3694,83,3563,48,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Karnal,1675031.176,2471.0,677.8758300283286,10471,251,10075,145,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Kurukshetra,1072224.872,1530.0,700.8005699346405,8374,223,8033,118,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Mahendragarh,1024908.16,1900.0,539.4253473684211,6533,87,6428,18,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Nuh,1211419.472,1765.0,686.3566413597734,1649,13,1606,30,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Palwal,1157028.216,1367.0,846.3995727871251,4315,48,4244,23,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Panchkula,621485.68,816.0,761.6246078431374,9677,327,9212,138,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Panipat,1337525.832,1250.0,1070.0206656,10240,323,9773,144,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Rewari,996495.448,1559.0,639.1888697883259,11191,256,10866,69,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Rohtak,1177255.496,1668.0,705.7886666666667,11895,356,11395,144,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Sirsa,1440166.768,4276.0,336.80233115060804,7828,124,7592,112,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,HR_Sonipat,1645848.96,2260.0,728.2517522123894,14229,402,13750,77,0,25353081.0,1696.0,586.0,7.0,3.0
Himachal Pradesh,HP_Bilaspur,424846.272,1167.0,364.04993316195373,2680,324,2333,22,1,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Chamba,576954.528,6528.0,88.38151470588237,2652,228,2373,46,5,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Hamirpur,505173.816,1118.0,451.85493381037566,2601,236,2324,40,1,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Kangra,1676031.976,5739.0,292.0425119358773,7092,978,5938,174,2,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Kinnaur,93739.376,6401.0,14.644489298547102,1264,125,1123,16,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Kullu,486471.088,5503.0,88.401069961839,4246,312,3851,81,2,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Lahaul and Spiti,35059.136,13835.0,2.534090061438381,1200,50,1139,11,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Mandi,1111464.016,3950.0,281.3832951898734,9057,1569,7378,110,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Shimla,904483.008,5131.0,176.27811498733192,9593,879,8443,234,37,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Sirmaur,589542.368,2825.0,208.6875638938053,3028,220,2782,26,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,HP_Solan,641257.04,1936.0,331.2278099173554,6030,816,5148,66,0,6856509.0,946.0,452.0,14.0,2.0
